2024-02-13 10:00:21.422461,96*3,288
2024-02-13 10:00:25.106170,288-22,266
2024-02-13 10:00:27.212800,266+3,269
2024-02-13 10:00:30.375659,269/8,33.625
2024-02-13 10:00:34.927221,33.625-.625,33
2024-02-13 10:00:47.022915,33333333,33333333
2024-02-13 10:00:47.786795,33333333,33333333
2024-02-13 10:04:29.331429,9-33,-24
2024-02-13 10:04:30.087876,-24,-24
2024-02-13 10:04:30.270355,-24,-24
2024-02-13 10:04:30.432792,-24,-24
2024-02-13 10:11:33.174302,3.6+9,12.6
2024-02-13 10:11:40.865894,9*55,495
2024-02-13 10:12:02.988646,495495,495495
2024-02-13 10:12:03.970694,495495,495495
2024-02-13 10:12:07.357913,495495495495,495495495495
2024-02-13 10:12:08.071308,495495495495495495495495,495495495495495495495495
2024-02-13 10:12:38.826350,999/9,111
